M_sigma	S	Q_alpha	motif_intron_summary	motif_intron
0.7	0.1	Inf	0	0.0031932087519615927
0.7	0.2	Inf	0	0.018210367359287567
0.7	0.4	Inf	0	0.009968989835547622
0.7	0.8	Inf	0	0.010740255139355321
0.71	0	Inf	0	0.00896459958028042
0.71	0.05	Inf	0	0.007293232028157269
0.71	0.1	Inf	0	0.01151414092214235
0.71	0.2	Inf	0	0.013400154908708946
0.71	0.4	Inf	0	0.007145854271924166
0.71	0.8	Inf	0	0.009343485630750579
0.72	0	Inf	0	0.016161067433355852
0.72	0.05	Inf	0	0.014645251802829808
0.72	0.1	Inf	0	0.010778464281664518
0.72	0.2	Inf	0	0.014593859485733801
0.72	0.4	Inf	0	0.008178864432698673
0.72	0.8	Inf	0	0.00807787479494295
0.73	0	Inf	0	0.011011382318394328
0.73	0.05	Inf	0	0.004304863615449153
0.73	0.1	Inf	0	0.013219485530082672
0.73	0.2	Inf	0	0.010304256045662947
0.73	0.4	Inf	0	0.015777351472635984
0.73	0.8	Inf	0	0.014414347198053097
0.74	0	Inf	0	0.005545721940651898
0.74	0.05	Inf	0	0.009518006222229803
0.74	0.1	Inf	0	0.009354063654690978
0.74	0.2	Inf	0	0.012375632217970807
0.74	0.4	Inf	0	0.009163551925875417
0.74	0.8	Inf	0	0.008149165072376594
0.75	0	Inf	0	0.004717712679004882
0.75	0.05	Inf	0	0.0065685956004487385
0.75	0.1	Inf	0	0.007229981314843271
0.75	0.2	Inf	0	0.006833002692683785
0.75	0.4	Inf	0	0.011751767102558805
0.75	0.8	Inf	0	0.012177647999152049
0.76	0	Inf	0	0.005843953176619934
0.76	0.05	Inf	0	0.009123139409572687
0.76	0.1	Inf	0	0.004395596368178398
0.76	0.2	Inf	0	0.0051037715832813815
0.76	0.4	Inf	0	0.0038934374429504108
0.76	0.8	Inf	0	0.010776981908694782
0.77	0	Inf	0	0.009672715929410719
0.77	0.05	Inf	0	0.01699707858041195
0.77	0.1	Inf	0	0.01572640672880385
0.77	0.2	Inf	0	0.008806961845568784
0.77	0.4	Inf	0	0.0021200419392295358
0.77	0.8	Inf	0	0.009523913301045949
0.78	0	Inf	0	0.00866686959423105
0.78	0.05	Inf	0	0.008014669778357963
0.78	0.1	Inf	0	0.009390503892238534
0.78	0.2	Inf	0	0.004744951472992804
0.78	0.4	Inf	0	0.00480648088742066
0.78	0.8	Inf	0	0.00257033223365072
0.79	0	Inf	0	0.006987123904052744
0.79	0.05	Inf	0	0.00548482809962247
0.79	0.1	Inf	0	0.006200427808154338
0.79	0.2	Inf	0	0.014327920868310688
0.79	0.4	Inf	0	0.010145514294862344
0.79	0.8	Inf	0	0.015063104166338917
0.8	0	Inf	0	0.013595882529350104
0.8	0.05	Inf	0	0.008800223405373961
0.8	0.1	Inf	0	0.01163587461696062
0.8	0.2	Inf	0	0.01014431468646018
0.8	0.4	Inf	0	0.011323967693462179
0.8	0.8	Inf	0	0.005334481525332971
0.81	0	Inf	0	0.01165607957491922
0.81	0.05	Inf	0	0.0062351285396878035
0.81	0.1	Inf	0	0.008206100379389049
0.81	0.2	Inf	0	0.005239511488181532
