init_cond	constr_cond	run_number	seq_length	mutation	mut_scaled	mutation_tot	mut_scaled_tot	mut_mean	esr_mean	A3SS_R1_mean	A3SS_R2_mean	A5SS_R1_mean	A5SS_R2_mean
exon	identity	1	936	3744	4.0	14307	15.2852564103	0.004943387610754986	-0.06798751925886144	0.1758771409931714	-0.35820016841165675	-0.05990859707233101	0.0943565795859227
exon	identity	1	936	3931	4.199786324790001	15073	16.103632478599998	0.004502921952991453	-0.08618029294307197	0.17776766976001057	-0.4348043108828256	-0.11654235776348666	0.09951593615005648
exon	identity	1	936	4118	4.39957264957	15736	16.811965812	0.004437282516025641	-0.10137781722878626	0.2067005571391893	-0.48264173138547456	-0.18512156039693195	0.11289580116010602
exon	identity	1	936	4305	4.59935897436	16410	17.5320512821	0.004636598742877492	-0.09994209361976371	0.1902547395656026	-0.4645730141565609	-0.14878117035882518	0.10763376121741372
exon	identity	1	936	4492	4.79914529915	17115	18.2852564103	0.004590933383547009	-0.09630141735767991	0.20296399910146457	-0.46452107492746525	-0.15208693493783704	0.1129697932302424
exon	identity	1	936	4680	5.0	17814	19.0320512821	0.0043143010726495725	-0.09894474993555318	0.18388026879065422	-0.4536626088390272	-0.1183897200824881	0.1061392762207053
exon	identity	1	936	4867	5.199786324790001	18566	19.8354700855	0.0044633520961538465	-0.08873941119226639	0.18486877891904138	-0.39732142481935484	-0.10033484329475678	0.11212993051657191
exon	identity	1	936	5054	5.3995726495700005	19365	20.6891025641	0.004498168506410256	-0.08807728727175079	0.18509104513454594	-0.37902512163535035	-0.08441271903923947	0.10257987097685524
exon	identity	1	936	5241	5.59935897436	20156	21.5341880342	0.004544530111823362	-0.07934082635875403	0.1670978444209203	-0.36752190287901076	-0.07986558825163463	0.10049819767936745
exon	identity	1	936	5428	5.799145299149999	21040	22.4786324786	0.004414687517450142	-0.09204708549946294	0.20219328604434428	-0.42056564311839023	-0.1253072023323391	0.09999939815984586
exon	identity	1	936	5616	6.0	21680	23.162393162399997	0.00460162816488604	-0.10350284169709989	0.19727001930818705	-0.4276515137076077	-0.11587592587364744	0.10103090797511723
exon	identity	1	936	5803	6.19978632479	22381	23.9113247863	0.004556483306980057	-0.08161659805585392	0.21175724845069963	-0.3761932363741177	-0.10371721969886423	0.11416399579828826
exon	identity	1	936	5990	6.3995726495700005	23108	24.688034188000003	0.004025517093304843	-0.11742668593984963	0.20476804917990415	-0.4756364852348545	-0.18176450405789782	0.11383049370987522
exon	identity	1	936	6177	6.59935897436	23876	25.5085470085	0.004227486542735043	-0.09872745647690655	0.1783857736437742	-0.42850255861880154	-0.13259987224170083	0.112876105209983
exon	identity	1	936	6364	6.799145299149999	24555	26.233974359	0.004502705110754986	-0.10146021964554243	0.22519789549579272	-0.4292740349977062	-0.11777610525026495	0.12077704893228942
exon	identity	1	936	6552	7.0	25358	27.0918803419	0.004423059877136751	-0.10218379065520945	0.23270045684582932	-0.4154208313777708	-0.10728888042960304	0.1049695151303462
exon	identity	1	936	6739	7.19978632479	26121	27.9070512821	0.004705088324430199	-0.09708346828141784	0.20573646079079702	-0.39923217998789085	-0.08338143718835739	0.1052270706447926
exon	identity	1	936	6926	7.3995726495700005	26898	28.7371794872	0.004782779113603988	-0.1065048398066595	0.20742171288892938	-0.4192628035638242	-0.07683258447127297	0.11328171151603518
exon	identity	1	936	7113	7.599358974360001	27713	29.6079059829	0.004559925842948718	-0.08573885659505907	0.21493409234921254	-0.3624064337120752	-0.039331706441226084	0.10981699365137507
exon	identity	1	936	7300	7.799145299149999	28393	30.3344017094	0.004637447265669515	-0.08595806588614394	0.21904585883410238	-0.4007010578420121	-0.09923591610031791	0.11205277302749797
exon	identity	1	936	7488	8.0	29133	31.125	0.004252511865740741	-0.0853367571858217	0.1932636242124691	-0.3759701698914119	-0.09245261303915159	0.11202008825089665
exon	identity	1	936	7675	8.199786324789999	29805	31.8429487179	0.004522751567663818	-0.07957875035445756	0.2089742428966078	-0.3830584891160206	-0.08745231778916883	0.1110338694309631
exon	identity	1	936	7862	8.39957264957	30484	32.5683760684	0.004515942540954416	-0.08633463481203008	0.21607798440196582	-0.40551395476567953	-0.09359899351588553	0.11654687967512252
exon	identity	1	936	8049	8.599358974360001	31220	33.3547008547	0.004198074582621082	-0.07824420378088076	0.20967303867100573	-0.3949991719145451	-0.09489835635040282	0.11297744624642496
exon	identity	1	936	8236	8.79914529915	31948	34.1324786325	0.00437302305448718	-0.07227773580021482	0.20592573433971084	-0.39842958771319625	-0.09162535279805233	0.11356579850804777
exon	identity	1	936	8424	9.0	32734	34.972222222199996	0.00445709341951567	-0.06459798906552094	0.1955019946229674	-0.35718153672162717	-0.04799693298826373	0.1095862887579381
exon	identity	1	936	8611	9.199786324789999	33406	35.6901709402	0.004600838808048433	-0.07166251812030076	0.22153302756490797	-0.3513746432044458	-0.07384329379284843	0.10938789356855459
exon	identity	1	936	8798	9.39957264957	34083	36.4134615385	0.004394901964031339	-0.07368242094522019	0.2026986669766785	-0.3517682048333009	-0.057591755352775525	0.1190990971375136
exon	identity	1	936	8985	9.599358974360001	34840	37.222222222199996	0.004375598178062678	-0.06073794885069818	0.21198621398318088	-0.3070629973007113	-0.009723857617906739	0.11821425033569483
exon	identity	1	936	9172	9.79914529915	35505	37.9326923077	0.004513429825854701	-0.07009803487647691	0.20071077689473726	-0.31164147008579846	-0.04906002889692175	0.10096765351419217
exon	identity	1	936	9360	10.0	36280	38.760683760700005	0.004801609512464388	-0.06841138313641246	0.20159336370688863	-0.3726164622187821	-0.08116926298843229	0.10404984990592835
